,library,current,latest,used
1,aiobotocore,2.2.0,2.3.2,2.2.0
6,anyio,3.5.0,3.6.1,3.5.0
11,asgiref,3.5.0,3.5.2,3.5.0
18,Babel,2.9.1,2.10.1,2.9.1
24,boto3,1.21.21,1.23.10,1.21.21
25,botocore,1.24.21,1.26.10,1.24.21
28,cachetools,4.2.4,5.2.0,4.2.4
29,certifi,2021.10.8,2022.5.18.1,2021.10.8
36,cryptography,36.0.2,37.0.2,36.0.2
44,distro,1.6.0,1.7.0,1.6.0
47,dulwich,0.20.35,0.20.42,0.20.35
50,dvclive,0.7.3,0.8.2,0.7.3
53,fastapi,0.75.2,0.78.0,0.75.2
62,fsspec,2022.3.0,2022.5.0,2022.3.0
66,gast,0.4.0,0.5.3,0.4.0
69,google-auth,1.35.0,2.6.6,1.35.0
70,google-auth-oauthlib,0.4.6,0.5.1,0.4.6
72,grandalf,0.6,0.7,0.6
73,grpcio,1.42.0,1.46.3,1.42.0
77,h5py,3.6.0,3.7.0,3.6.0
79,importlib-metadata,4.11.3,4.11.4,4.11.3
83,ipython,8.3.0,8.4.0,8.3.0
88,Jinja2,3.1.1,3.1.2,3.1.1
91,json5,0.9.5,0.9.8,0.9.5
92,jsonschema,4.4.0,4.5.1,4.4.0
94,jupyter-client,7.3.0,7.3.1,7.3.0
96,jupyter-core,4.9.2,4.10.0,4.9.2
98,jupyterlab,3.3.4,3.4.2,3.3.4
100,jupyterlab-server,2.13.0,2.14.0,2.13.0
102,keras,2.7.0,2.9.0,2.7.0
105,mailchecker,4.1.16,4.1.17,4.1.16
106,Markdown,3.3.6,3.3.7,3.3.6
108,matplotlib,3.5.1,3.5.2,3.5.1
110,mistune,0.8.4,2.0.2,0.8.4
115,nbclient,0.6.0,0.6.3,0.6.0
117,nbformat,5.3.0,5.4.0,5.3.0
119,networkx,2.8,2.8.2,2.8
122,numpy,1.22.3,1.22.4,1.22.3
133,phonenumbers,8.12.47,8.12.49,8.12.47
135,Pillow,9.1.0,9.1.1,9.1.0
136,pip,22.0.4,22.1.1,22.0.4
143,protobuf,3.19.4,4.21.1,3.19.4
144,psutil,5.9.0,5.9.1,5.9.0
149,pyasn1-modules,0.2.7,0.2.8,0.2.7
151,pydantic,1.9.0,1.9.1,1.9.0
153,pygit2,1.9.0,1.9.2,1.9.0
156,PyJWT,2.3.0,2.4.0,2.3.0
158,pyparsing,2.4.7,3.0.9,2.4.7
159,PyQt5,5.12.3,5.15.6,5.12.3
160,PyQt5_sip,4.19.18,12.10.1,4.19.18
161,PyQtChart,5.12,5.15.5,5.12
162,PyQtWebEngine,5.12.1,5.15.5,5.12.1
168,python-fsutil,0.6.0,0.6.1,0.6.0
173,pyzmq,22.3.0,23.0.0,22.3.0
175,QtPy,2.0.1,2.1.0,2.0.1
178,rich,12.3.0,12.4.4,12.3.0
182,s3fs,2022.3.0,2022.5.0,2022.3.0
184,scikit-learn,1.0.2,1.1.1,1.0.2
185,scipy,1.8.0,1.8.1,1.8.0
186,scmrepo,0.0.19,0.0.22,0.0.19
188,setuptools,62.1.0,62.3.2,62.1.0
189,shortuuid,1.0.8,1.0.9,1.0.8
192,smmap,3.0.5,5.0.0,3.0.5
194,soupsieve,2.3.1,2.3.2.post1,2.3.1
196,starlette,0.17.1,0.20.1,0.17.1
198,tensorflow,2.7.0,2.9.1,2.7.0
199,tensorflow-estimator,2.7.0,2.9.0,2.7.0
201,terminado,0.13.3,0.15.0,0.13.3
209,traitlets,5.1.1,5.2.1.post0,5.1.1
222,wrapt,1.14.0,1.14.1,1.14.0
223,xmltodict,0.12.0,0.13.0,0.12.0
